date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:30	46047/46047	------	200	untouched ('OK')	text/html	date:Wed,%2015%20Jun%202022%2008:58:01%20GMT	https://www.npg.org.uk/learning/schools-and-colleges/cross-curricular	//NPGVM-NPG02/NPGUserData$/edefreitas/My%20Documents/GitHub/Learning-pages-removed/Learning%20Resource/www.npg.org.uk/learning/schools-and-colleges/cross-curricular.html	(from )
10:06:30	49447/49447	------	200	untouched ('OK')	text/html	date:Wed,%2015%20Jun%202022%2008:58:02%20GMT	https://www.npg.org.uk/learning/schools-and-colleges/schools-photography-competition/	//NPGVM-NPG02/NPGUserData$/edefreitas/My%20Documents/GitHub/Learning-pages-removed/Learning%20Resource/www.npg.org.uk/learning/schools-and-colleges/schools-photography-competition/index.html	(from )
10:06:30	46841/46841	------	200	untouched ('OK')	text/html	date:Wed,%2015%20Jun%202022%2008:58:02%20GMT	https://www.npg.org.uk/learning/schools-and-colleges/art1/gallery-sessions	//NPGVM-NPG02/NPGUserData$/edefreitas/My%20Documents/GitHub/Learning-pages-removed/Learning%20Resource/www.npg.org.uk/learning/schools-and-colleges/art1/gallery-sessions.html	(from )
10:06:30	40509/40509	------	200	untouched ('OK')	text/html	date:Wed,%2015%20Jun%202022%2008:58:03%20GMT	https://www.npg.org.uk/learning/schools-and-colleges/art1/practical-art-workshops	//NPGVM-NPG02/NPGUserData$/edefreitas/My%20Documents/GitHub/Learning-pages-removed/Learning%20Resource/www.npg.org.uk/learning/schools-and-colleges/art1/practical-art-workshops.html	(from )
10:06:31	40916/40916	------	200	untouched ('OK')	text/html	date:Wed,%2015%20Jun%202022%2008:58:04%20GMT	https://www.npg.org.uk/learning/schools-and-colleges/art1/photography	//NPGVM-NPG02/NPGUserData$/edefreitas/My%20Documents/GitHub/Learning-pages-removed/Learning%20Resource/www.npg.org.uk/learning/schools-and-colleges/art1/photography.html	(from )
10:06:31	91430/91430	------	200	untouched ('OK')	text/html	date:Wed,%2015%20Jun%202022%2008:58:04%20GMT	https://www.npg.org.uk/learning/schools-and-colleges/art1/meet-the-artist-past-sessions	//NPGVM-NPG02/NPGUserData$/edefreitas/My%20Documents/GitHub/Learning-pages-removed/Learning%20Resource/www.npg.org.uk/learning/schools-and-colleges/art1/meet-the-artist-past-sessions.html	(from )
10:06:31	43577/43577	------	200	untouched ('OK')	text/html	date:Wed,%2015%20Jun%202022%2008:58:05%20GMT	https://www.npg.org.uk/learning/schools-and-colleges/art1/meet-the-artist	//NPGVM-NPG02/NPGUserData$/edefreitas/My%20Documents/GitHub/Learning-pages-removed/Learning%20Resource/www.npg.org.uk/learning/schools-and-colleges/art1/meet-the-artist.html	(from )
10:06:31	39744/39744	------	200	untouched ('OK')	text/html	date:Wed,%2015%20Jun%202022%2008:58:06%20GMT	https://www.npg.org.uk/learning/digital/practice-of-portraiture	//NPGVM-NPG02/NPGUserData$/edefreitas/My%20Documents/GitHub/Learning-pages-removed/Learning%20Resource/www.npg.org.uk/learning/digital/practice-of-portraiture.html	(from )
10:06:31	39108/39108	------	200	untouched ('OK')	text/html	date:Wed,%2015%20Jun%202022%2008:58:06%20GMT	https://www.npg.org.uk/learning/digital/citizenship	//NPGVM-NPG02/NPGUserData$/edefreitas/My%20Documents/GitHub/Learning-pages-removed/Learning%20Resource/www.npg.org.uk/learning/digital/citizenship.html	(from )
10:06:31	52198/52198	------	200	untouched ('OK')	text/html	date:Wed,%2015%20Jun%202022%2008:58:07%20GMT	https://www.npg.org.uk/learning/digital/portraiture/self-image/glossary	//NPGVM-NPG02/NPGUserData$/edefreitas/My%20Documents/GitHub/Learning-pages-removed/Learning%20Resource/www.npg.org.uk/learning/digital/portraiture/self-image/glossary.html	(from )
